artist,album,track,overall_loudness,spectral_energy,dissonance,pitch_salience,bpm,beat_loudness,danceability,tuning_frequency,avg.valence,avg.arousal,aggressive,happy,party,relaxed,sad,acoustic,electric,instrumental,timbreBright,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Manchester Orchestra,HOPE,All That I Really Wanted,-13.4985752106,0.0290943328291,0.4286429286,0.577091038227,129.303024292,0.0352367833257,1.0077958107,442.804626465,11.5841882,11.5676509,0.46541952999999997,0.013786799,1.98477234,0.076872237,1.12450786,0.48736773299999997,1.3711519,0.41505382999999996,0.46904,207,5.89,37.29,77.17,33.75,207,3.86,97.58,87.44,71.98,28.5,16.91,10.14,0.48,6.28,0,0,11.59,17.39,3.38,0,13.53,13.04,7.73,2.42,2.42,27.54,0.97,7.73,0.97,0.48,0,0.48,24.15,9.18,14.98,2.42,2.42,3.86,0,3.38,0.97,0,3.38,1.93,0.97,0,0,0,0,0,0,0.48,7.73,0.97,0,0,0.97,0,0,6.76,0,0,0,0,0,0,0,0,0.97,0,0,0,0.97,0,1.93,0,0,0,0,0.48,0,0.97,0,0.97,2.9,0,0,0,0,0,0.48,0,8.7,9.66,0,2.9,4.83,0.48,0,0.48,4.83,9.18,5.31,1.45,0,0,0,0,0,3.86,0,0.48,0,0,3.38,0,0
Manchester Orchestra,HOPE,Choose You,-15.414185524,0.0184150524437,0.43146058917,0.577218413353,123.163597107,0.0224333070219,0.900434970856,440.254241943,11.8245042,11.298548499999999,0.35089998,0.012923604,1.9792447,0.05455930899999999,1.1765742499999998,0.42019667,1.50383237,0.278009174,0.4684025,193,4.57,28.65,97.01,6.69,193,7.77,92.23,79.27,68.39,26.94,23.83,12.44,0.52,9.33,1.04,0,3.11,12.95,9.33,0,10.88,13.99,2.07,4.66,11.4,23.32,1.04,1.04,5.18,0.52,3.63,1.04,11.92,1.04,9.84,6.22,0.52,0,0,0.52,2.07,0,2.59,0.52,2.07,0.52,0,0.52,0,0,0.52,0,17.1,3.11,0,0,0,0,1.55,13.99,0,0,0,3.63,1.55,0,0.52,1.04,2.07,0,0.52,0,0.52,1.04,0,0,0,0,0,0,0,0,0,0.52,0,0,0.52,0,0,0,0,2.59,8.29,8.29,0,1.55,5.7,0.52,0,0,1.55,6.22,8.81,3.63,0,0,0,0,0,18.13,0,7.77,0,0,10.36,0,0
Manchester Orchestra,HOPE,Cope,-15.806186676,0.0191158019006,0.377873808146,0.573168039322,142.896652222,0.0217885039747,0.874000489712,439.745910645,11.396587799999999,11.3879768,0.30183044000000003,0.012190073000000001,1.98568596,0.046522312999999996,1.05545713,0.458890865,1.35160895,0.40891066,0.46885866,165,8.65,14.16,99,28.32,82.5,8.48,96.97,84.24,64.85,24.24,13.94,9.09,2.42,1.82,0,0.61,10.3,14.55,5.45,1.21,11.52,9.7,7.88,7.27,2.42,26.67,2.42,3.64,2.42,2.42,0,0,18.18,4.24,13.94,3.03,1.21,3.64,4.24,0.61,3.03,0.61,4.24,2.42,1.82,3.03,2.42,0.61,0,0,0.61,0,6.06,1.21,0.61,0,0.61,0,0,4.85,0,0,0,0,0,0,0,0,1.21,0,0.61,0,0.61,0,1.21,0.61,0,0,0.61,0,0,0,0,0,3.03,0,0.61,0,0,0,0.61,0,10.3,19.39,1.82,5.45,15.76,3.03,0,0,5.45,2.42,8.48,3.64,0,0,0,0,0,7.27,1.82,1.82,0,0,3.64,0,0
Manchester Orchestra,HOPE,Every Stone,-15.5941677094,0.0276392139494,0.366609483957,0.524582862854,139.048049927,0.029975451529,0.910181999207,438.477722168,11.2509117,11.099320299999999,0.39304669000000003,0.010112787,1.98008904,0.051410267,1.39831215,0.23679750200000002,1.7328738000000001,0.21130669000000002,0.47118133,141,5.56,44.25,99,53.17,141,4.26,94.33,87.94,68.09,24.11,11.35,4.26,0.71,5.67,0,0,12.77,7.8,3.55,0,18.44,19.86,5.67,4.26,5.67,39.72,0,2.84,1.42,0.71,0,0.71,19.86,6.38,13.48,2.13,2.13,2.13,4.96,0,4.26,0,2.13,2.13,0,0,0,0,0,0,0,0,12.77,3.55,0.71,0.71,0,0,1.42,8.51,0,0,0,0,0,0,0,0,1.42,0,0,0.71,0.71,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0.71,2.84,28.37,0,12.06,16.31,0,0,0,3.55,15.6,15.6,1.42,0,0,0,0,0,21.99,0,7.8,0,0,14.18,0,0
Manchester Orchestra,HOPE,Girl Harbor,-13.9425821304,0.0239468663931,0.42968544364,0.575956285,143.445281982,0.0286581963301,0.900146961212,440.254241943,11.8556469,11.3296864,0.3276036,0.009393486000000001,1.9904875999999998,0.060785299,1.12200752,0.60233013,1.4431582500000002,0.43160598,0.46718916,237,4,18.76,91.65,20.23,237,8.86,97.89,83.97,64.98,26.58,21.52,13.08,0,7.59,0.42,0.42,5.06,10.55,4.22,0,11.39,8.86,7.59,6.75,5.49,24.89,5.06,3.38,1.69,1.27,0.42,0,23.63,2.53,20.25,7.17,1.27,5.49,1.27,0.84,3.38,0,1.69,0.84,0.84,0.84,0,0.84,0.42,0,0,0,16.88,6.33,0.84,0,0,0,5.06,10.13,0,0.42,0.42,0.42,0,0,0,0,0.84,0,0,0,0.42,0.42,0,0,0,0,0,0,0,0,0,1.69,2.95,0,0.42,0,0,0,0,1.69,10.97,7.59,0.42,0.84,4.22,0.84,0.84,0.42,2.95,1.27,8.44,0,0,0,0,0,0,6.33,0,1.27,0,0,5.06,0,0
Manchester Orchestra,HOPE,Indentions,-12.9361476898,0.0336680077016,0.398032516241,0.538945913315,109.897651672,0.0385089851916,0.898647725582,438.731048584,11.5691661,11.555754799999999,0.41530986999999997,0.010231226,1.98282654,0.06522536599999999,1.25686726,0.353244146,1.6028017,0.34719302,0.45981652,88,14.21,1.08,99,NA,29.33,19.32,90.91,72.73,55.68,22.73,15.91,12.5,0,2.27,0,1.14,6.82,7.95,4.55,0,10.23,11.36,3.41,0,7.95,25,2.27,4.55,3.41,0,1.14,2.27,18.18,3.41,14.77,4.55,5.68,1.14,3.41,1.14,0,0,0,0,0,0,0,0,0,0,0,0,5.68,1.14,0,0,0,0,1.14,4.55,0,0,0,0,0,0,0,0,3.41,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,13.64,1.14,5.68,5.68,2.27,0,0,5.68,4.55,4.55,6.82,0,0,0,0,0,18.18,3.41,0,1.14,0,9.09,4.55,0
Manchester Orchestra,HOPE,See It Again,-14.0167093277,0.025911513716,0.392291754484,0.601312816143,80.4069671631,0.0294542033225,0.93061453104,441.527557373,11.647513700000001,11.5711265,0.8173397,0.012977341,1.97074976,0.14703163600000002,1.4041573999999999,0.25283079399999997,1.5732868899999999,0.51487515,0.44934908,261,5.28,1,99,15.91,261,6.51,96.17,82.76,64.75,17.24,9.58,7.66,1.15,0.77,0,0,7.66,13.03,4.21,0,16.48,10.34,14.94,4.98,11.11,29.89,3.83,2.3,1.92,1.15,0.38,0.38,24.52,9.2,15.33,5.75,1.15,1.53,3.07,1.53,5.75,0,0.38,0,0.38,0,0,0,0,0,0,0,6.51,3.83,0,0,0.38,0,2.68,2.68,0,0,0,0,0.38,0,0,0.38,1.53,0,0.77,0,0.77,0,3.07,0,0,0,0,0,0,0,0.38,0.77,0,0.77,0,0,0,0.38,0.38,0,15.71,10.73,0.38,1.15,3.83,4.6,0,1.15,9.96,5.36,5.75,8.05,0,0,0,0,0,9.58,0,0.38,0,0,9.2,0,0
Manchester Orchestra,HOPE,The Mansion,-12.9252052307,0.0244223307818,0.423987329006,0.578523635864,146.06930542,0.0281394831836,0.906266272068,438.984558105,11.261205200000001,10.9394346,0.158155875,0.008827373999999999,1.9891161400000001,0.030269754,1.19725933,0.46661327,1.63535546,0.26032263,0.46682474,173,5.58,53.87,81.8,3.43,173,8.09,94.8,76.88,60.69,27.75,17.92,8.09,2.31,3.47,2.89,0.58,9.83,16.18,8.09,0,6.94,8.67,6.36,4.62,5.2,20.23,4.05,1.73,3.47,2.89,0,0.58,20.81,4.62,16.18,5.78,2.31,2.31,3.47,1.73,4.05,1.73,2.31,0,2.31,0,0,0,0,0,0,0,19.65,5.78,0.58,0.58,0,1.73,2.89,13.87,0.58,0,0.58,5.2,0,0,0,0,1.16,0,0,0,0,1.16,1.73,0,0,0,0,0,0,0,0.58,0,0.58,0.58,0,0,0,0,0,0,6.94,10.4,0,1.16,6.36,2.31,0,0,2.89,8.09,5.78,1.16,0.58,0,0,0.58,0,8.67,0,1.73,0,0,5.78,1.16,0
Manchester Orchestra,HOPE,The Ocean,-13.7618112564,0.0195515267551,0.424493461847,0.605072796345,102.978599548,0.0230616107583,0.885744512081,439.745910645,11.5482482,11.1186504,0.167682106,0.008800965,1.991041,0.027246242,1.11977816,0.47710928999999996,1.5391224000000001,0.174509696,0.4574219,115,17.87,14.97,94.54,61.25,57.5,4.35,93.04,78.26,62.61,25.22,13.04,8.7,0.87,3.48,0,0,12.17,20.87,9.57,1.74,12.17,10.43,7.83,2.61,4.35,24.35,2.61,2.61,2.61,0.87,0.87,0.87,9.57,3.48,6.09,3.48,1.74,0.87,0.87,0,0.87,0,5.22,3.48,0.87,1.74,1.74,0,0,0,0,0.87,11.3,6.09,0,0,0,0,2.61,5.22,0,0,0,0,0,0,0,0,5.22,0,0.87,2.61,0,1.74,4.35,0.87,0,0,0,0,0,0,2.61,0,0.87,0,0,0,0,0,0,0,11.3,9.57,0,2.61,6.96,0,0,0.87,5.22,1.74,13.04,3.48,0,0,0,0,0,16.52,0,6.96,0.87,0,8.7,0,0
Manchester Orchestra,HOPE,Top Notch,-13.9357042313,0.022849932313,0.429803550243,0.578074097633,113.875862122,0.0311248600483,0.996554374695,440,11.521086700000001,11.1886435,0.39989193,0.012763819000000001,1.9838187,0.052001027000000005,1.14637334,0.514582995,1.5063756000000001,0.337991264,0.46701258,184,9.71,49.76,74.45,6.28,92,8.7,94.02,78.26,64.67,22.83,8.7,2.72,2.17,1.63,1.09,1.09,14.13,19.57,4.35,2.17,12.5,8.15,7.07,8.15,4.35,20.65,1.09,7.07,4.35,2.72,1.63,0,22.83,9.24,13.59,5.98,3.26,1.63,1.63,1.09,2.72,0,1.63,0,1.63,0.54,0,0.54,0,0,0,0,9.78,2.17,0,0,0,0.54,1.09,7.61,0.54,0,0,1.63,0,0,0,0,1.63,0,0.54,0,0,1.09,2.72,1.09,0.54,0,0,0,0,0,0.54,0,0,1.09,0,0,0,0,0,1.63,5.43,12.5,1.63,1.09,8.15,2.17,1.09,0,3.8,3.26,7.07,1.09,0,0,0,0,0,5.98,0,0,0,0.54,4.35,1.09,0
